10 2500
0 6 96
0 1 60
4 6 257
8 5 939
6 3 46
2 4 610
9 8 464
0 1 171
1 7 74
7 9 9
0 2 878
3 4 481
9 1 735
4 2 466
6 0 941
2 7 358
8 0 830
5 5 573
6 0 936
2 9 436
2 1 215
4 2 79
1 7 563
3 9 115
9 3 374
5 6 237
6 1 913
7 0 460
5 7 219
8 7 966
7 0 63
3 0 131
7 3 66
0 4 57
9 3 329
0 3 214
1 7 571
4 9 936
4 6 45
5 9 850
5 0 463
8 5 768
1 7 52
1 5 616
6 4 433
1 0 784
7 1 394
3 5 891
3 9 870
4 4 738
1 9 62
3 3 542
2 2 355
5 8 971
1 7 347
1 5 335
7 0 341
1 3 417
3 2 679
9 5 978
8 9 857
4 6 725
3 9 582
1 4 745
2 4 601
3 0 783
1 9 541
6 9 757
9 3 864
7 8 483
1 0 534
6 2 144
0 8 779
5 2 582
3 9 944
4 2 573
7 5 207
8 7 376
0 9 739
9 7 334
5 3 437
4 2 47
8 4 970
7 6 236
8 7 831
7 7 671
8 2 975
2 4 888
3 7 140
8 3 491
2 5 539
2 6 1
7 1 889
6 9 727
8 4 84
7 3 808
4 2 54
0 0 795
2 0 32
6 2 112
4 1 269
3 2 884
5 9 16
6 2 436
1 4 979
3 9 585
6 0 264
6 9 352
8 3 953
7 4 933
3 0 400
0 3 352
0 3 582
4 4 273
0 2 97
6 4 834
0 0 260
9 6 717
0 4 316
9 3 371
2 8 635
1 5 975
9 7 481
2 0 388
9 5 62
6 3 639
9 7 271
3 0 678
7 8 485
2 3 824
8 6 791
5 7 318
4 2 988
9 5 285
7 6 484
0 2 854
2 2 500
8 9 983
3 3 280
4 8 34
8 9 565
7 7 148
5 0 294
8 0 787
8 8 850
7 5 440
8 2 608
4 9 547
6 3 838
6 7 368
3 8 921
0 9 640
8 7 886
9 1 268
2 0 630
1 3 837
8 4 622
4 4 60
7 8 203
7 0 381
7 4 852
2 1 631
4 0 535
9 7 563
5 5 905
0 4 440
5 5 356
2 1 551
4 0 952
5 2 92
5 0 887
0 3 635
5 8 339
3 4 612
8 6 151
9 0 398
9 1 915
2 3 414
8 0 161
6 7 52
1 3 791
1 8 639
7 1 339
3 4 580
2 6 742
3 3 200
9 2 465
5 1 881
9 7 788
9 3 642
2 5 342
7 3 589
7 8 486
1 7 161
7 2 549
9 4 876
4 2 765
6 5 917
5 3 369
9 9 821
3 0 420
4 9 798
6 1 590
9 5 121
6 1 777
3 9 109
6 3 353
3 1 908
2 0 955
0 0 204
2 4 409
4 0 302
5 3 709
6 0 682
1 0 193
9 0 409
4 2 220
8 3 57
9 0 309
3 5 777
4 2 711
7 6 235
1 0 236
8 4 560
6 4 314
2 3 178
7 3 967
9 6 191
3 8 275
2 6 445
8 0 773
4 2 513
7 6 787
6 0 50
5 8 819
5 7 72
0 1 995
2 9 7
9 6 279
3 4 147
7 1 929
1 0 2
3 9 444
2 5 852
2 5 374
4 1 634
7 7 704
9 0 248
3 4 974
9 3 914
9 4 299
3 9 835
7 5 655
8 4 388
7 8 190
6 4 205
2 3 526
0 4 940
0 4 667
9 7 876
3 3 893
4 7 121
5 2 318
2 8 769
8 0 285
0 1 536
5 1 41
9 9 325
3 0 32
4 1 544
8 7 378
0 9 623
1 7 829
0 3 973
4 9 521
4 2 144
3 4 912
3 1 94
0 3 982
5 7 942
0 1 668
3 6 827
7 8 884
9 9 616
0 0 472
2 6 529
6 0 242
2 0 157
4 9 17
0 7 908
7 9 630
1 2 391
6 9 824
3 9 151
5 2 2
9 9 290
4 9 272
6 9 740
5 1 911
0 3 389
4 0 301
7 8 738
2 6 61
8 7 139
9 7 496
1 4 582
4 5 434
8 2 79
4 2 341
4 3 360
9 9 442
9 5 624
4 0 39
0 2 159
1 7 422
6 1 485
7 3 13
3 4 322
2 9 496
3 9 484
1 3 63
5 5 195
3 6 856
0 9 248
3 5 982
9 5 888
6 6 127
6 1 82
5 4 871
5 7 464
3 4 645
4 7 605
5 7 42
7 8 650
6 0 945
0 4 760
7 2 543
7 8 410
9 1 675
2 7 467
9 2 408
6 8 655
8 8 143
7 0 588
4 9 543
4 1 837
8 8 674
5 1 550
7 3 953
9 7 292
5 6 735
9 1 84
8 1 432
9 2 444
4 3 944
3 6 690
6 9 891
7 0 971
9 6 307
4 7 782
3 9 285
0 0 974
1 9 18
1 3 100
9 3 297
1 1 27
1 6 335
5 9 861
1 4 650
3 8 137
9 7 134
0 9 955
3 2 332
0 1 6
9 6 679
7 6 469
4 7 522
2 0 672
9 0 589
5 8 683
6 2 456
2 8 76
9 8 850
5 6 718
2 0 278
